iter	Passed	Remaining
0	214	214498
1	250	124821
2	338	112520
3	422	105182
4	481	95856
5	550	91230
6	618	87675
7	675	83779
8	740	81551
9	795	78800
10	864	77735
11	922	75954
12	984	74737
13	1035	72923
14	1120	73591
15	1181	72637
16	1228	71058
17	1266	69092
18	1337	69065
19	1411	69146
20	1457	67939
21	1490	66244
22	1550	65875
23	1602	65166
24	1658	64672
25	1721	64471
26	1809	65194
27	1867	64829
28	1913	64060
29	1977	63929
30	2037	63680
31	2081	62961
32	2123	62226
33	2191	62257
34	2240	61761
35	2275	60942
36	2323	60475
37	2388	60477
38	2479	61095
39	2546	61125
40	2605	60943
41	2666	60821
42	2746	61117
43	2831	61522
44	2906	61673
45	2986	61943
46	3022	61277
47	3104	61577
48	3156	61255
49	3211	61023
50	3311	61621
51	3364	61345
52	3404	60835
53	3458	60592
54	3520	60482
55	3565	60100
56	3649	60375
57	3683	59830
58	3737	59610
59	3822	59890
60	3865	59501
61	3907	59123
62	3952	58786
63	4018	58774
64	4083	58732
65	4145	58662
66	4205	58563
67	4248	58230
68	4304	58074
69	4335	57603
70	4359	57046
71	4395	56658
72	4425	56198
73	4455	55751
74	4490	55380
75	4524	55005
76	4557	54634
77	4601	54396
78	4646	54169
79	4690	53940
80	4722	53574
81	4749	53174
82	4774	52753
83	4820	52562
84	4844	52151
85	4868	51738
86	4913	51565
87	4947	51277
88	4983	51009
89	5013	50694
90	5054	50488
91	5086	50199
92	5121	49946
93	5174	49874
94	5207	49607
95	5237	49323
96	5267	49037
97	5299	48775
98	5330	48516
99	5377	48397
100	5419	48242
101	5462	48093
102	5489	47802
103	5518	47540
104	5550	47311
105	5598	47216
106	5628	46974
107	5672	46853
108	5714	46712
109	5749	46522
110	5782	46310
111	5826	46197
112	5879	46150
113	5909	45926
114	5952	45808
115	5994	45678
116	6085	45926
117	6120	45748
118	6164	45639
119	6205	45506
120	6247	45382
121	6333	45577
122	6367	45398
123	6391	45151
124	6427	44994
125	6472	44896
126	6534	44921
127	6573	44780
128	6610	44631
129	6665	44610
130	6709	44508
131	6753	44408
132	6812	44408
133	6854	44296
134	6882	44099
135	6931	44036
136	6972	43920
137	7004	43750
138	7046	43647
139	7089	43552
140	7133	43457
141	7163	43282
142	7205	43180
143	7235	43011
144	7266	42846
145	7292	42656
146	7324	42500
147	7362	42384
148	7390	42213
149	7417	42032
150	7445	41859
151	7477	41718
152	7508	41564
153	7539	41419
154	7566	41247
155	7591	41073
156	7626	40948
157	7655	40795
158	7684	40644
159	7713	40498
160	7759	40437
161	7801	40353
162	7829	40205
163	7857	40054
