A new study created in memory with name: no-name-a33eba91-13aa-4f10-b8f2-744f56c4113b
Start optimization.
Trial 0 finished with value: 0.5703496914487217 and parameters: {'n_estimators': 261, 'learning_rate': 0.15318822100312696, 'max_depth': 8, 'subsample': 0.6627759251822026, 'colsample_bytree': 0.5444189522442642, 'min_child_weight': 9}. Best is trial 0 with value: 0.5703496914487217.
Trial 1 finished with value: 0.6188657067293565 and parameters: {'n_estimators': 208, 'learning_rate': 0.21216486824934347, 'max_depth': 3, 'subsample': 0.5987391135280237, 'colsample_bytree': 0.6738222353315497, 'min_child_weight': 1}. Best is trial 1 with value: 0.6188657067293565.
Trial 2 finished with value: 0.5920658242727006 and parameters: {'n_estimators': 150, 'learning_rate': 0.2124019282752076, 'max_depth': 5, 'subsample': 0.9246855349642956, 'colsample_bytree': 0.4701295908730654, 'min_child_weight': 2}. Best is trial 1 with value: 0.6188657067293565.
Trial 3 finished with value: 0.5897443432265648 and parameters: {'n_estimators': 261, 'learning_rate': 0.09881937289655772, 'max_depth': 4, 'subsample': 0.8417244886194568, 'colsample_bytree': 0.6548201128929243, 'min_child_weight': 8}. Best is trial 1 with value: 0.6188657067293565.
Trial 4 finished with value: 0.5679400528945049 and parameters: {'n_estimators': 79, 'learning_rate': 0.27330455376195034, 'max_depth': 10, 'subsample': 0.6519531877299473, 'colsample_bytree': 0.8785240465107096, 'min_child_weight': 10}. Best is trial 1 with value: 0.6188657067293565.
Trial 5 finished with value: 0.5775492212753452 and parameters: {'n_estimators': 210, 'learning_rate': 0.08990125888134082, 'max_depth': 9, 'subsample': 0.1815649942618902, 'colsample_bytree': 0.6184227927449479, 'min_child_weight': 3}. Best is trial 1 with value: 0.6188657067293565.
Trial 6 finished with value: 0.5774904496032913 and parameters: {'n_estimators': 211, 'learning_rate': 0.1063681464296168, 'max_depth': 5, 'subsample': 0.45498659702295374, 'colsample_bytree': 0.4518318107654692, 'min_child_weight': 5}. Best is trial 1 with value: 0.6188657067293565.
Trial 7 finished with value: 0.6017337643255951 and parameters: {'n_estimators': 253, 'learning_rate': 0.08433094285745064, 'max_depth': 10, 'subsample': 0.18814623199510566, 'colsample_bytree': 0.8619931990471054, 'min_child_weight': 10}. Best is trial 1 with value: 0.6188657067293565.
Trial 8 finished with value: 0.5726711724948574 and parameters: {'n_estimators': 273, 'learning_rate': 0.20761484333464456, 'max_depth': 3, 'subsample': 0.9504186342220801, 'colsample_bytree': 0.7475535152092819, 'min_child_weight': 4}. Best is trial 1 with value: 0.6188657067293565.
Trial 9 finished with value: 0.5799588598295622 and parameters: {'n_estimators': 275, 'learning_rate': 0.0797992109139063, 'max_depth': 2, 'subsample': 0.1854544941205093, 'colsample_bytree': 0.4413462933632142, 'min_child_weight': 9}. Best is trial 1 with value: 0.6188657067293565.
Trial 10 finished with value: 0.6091096091683809 and parameters: {'n_estimators': 149, 'learning_rate': 0.05713659074197123, 'max_depth': 7, 'subsample': 0.44075624708083394, 'colsample_bytree': 0.22496896539945788, 'min_child_weight': 1}. Best is trial 1 with value: 0.6188657067293565.
