A new study created in memory with name: no-name-766e1d2f-73fa-47ed-9622-e06157c0b22c
Start optimization.
Trial 0 finished with value: 0.5751190476190475 and parameters: {'learning_rate': 0.07209173395251434, 'max_depth': 8, 'subsample': 0.4518946352650511, 'colsample_bytree': 0.41836847517184717, 'min_child_weight': 12}. Best is trial 0 with value: 0.5751190476190475.
Trial 1 finished with value: 0.545952380952381 and parameters: {'learning_rate': 0.07424002853465299, 'max_depth': 6, 'subsample': 0.928548884872239, 'colsample_bytree': 0.6430689203201733, 'min_child_weight': 14}. Best is trial 0 with value: 0.5751190476190475.
Trial 2 finished with value: 0.5628571428571428 and parameters: {'learning_rate': 0.03757777072779972, 'max_depth': 3, 'subsample': 0.46957671379370797, 'colsample_bytree': 0.47951762957708133, 'min_child_weight': 12}. Best is trial 0 with value: 0.5751190476190475.
Trial 3 finished with value: 0.5948809523809524 and parameters: {'learning_rate': 0.0014867239239578698, 'max_depth': 7, 'subsample': 0.6017178229822313, 'colsample_bytree': 0.175028990931212, 'min_child_weight': 6}. Best is trial 3 with value: 0.5948809523809524.
Trial 4 finished with value: 0.5460714285714285 and parameters: {'learning_rate': 0.07742230648140133, 'max_depth': 3, 'subsample': 0.8571539531098793, 'colsample_bytree': 0.5470470204177998, 'min_child_weight': 13}. Best is trial 3 with value: 0.5948809523809524.
Trial 5 finished with value: 0.5685714285714286 and parameters: {'learning_rate': 0.09311201478289391, 'max_depth': 6, 'subsample': 0.08928150088661299, 'colsample_bytree': 0.19003210995999453, 'min_child_weight': 9}. Best is trial 3 with value: 0.5948809523809524.
Trial 6 finished with value: 0.5676190476190477 and parameters: {'learning_rate': 0.021739660038474447, 'max_depth': 2, 'subsample': 0.07373748493813138, 'colsample_bytree': 0.7106712223994018, 'min_child_weight': 1}. Best is trial 3 with value: 0.5948809523809524.
Trial 7 finished with value: 0.556547619047619 and parameters: {'learning_rate': 0.027883790681837686, 'max_depth': 10, 'subsample': 0.1797940861439018, 'colsample_bytree': 0.08229174883213568, 'min_child_weight': 19}. Best is trial 3 with value: 0.5948809523809524.
Trial 8 finished with value: 0.5876190476190477 and parameters: {'learning_rate': 0.004926684522709395, 'max_depth': 5, 'subsample': 0.6644061491011731, 'colsample_bytree': 0.6180124602837616, 'min_child_weight': 8}. Best is trial 3 with value: 0.5948809523809524.
Trial 9 finished with value: 0.5725 and parameters: {'learning_rate': 0.026374172816052796, 'max_depth': 9, 'subsample': 0.3915671112425358, 'colsample_bytree': 0.9697272234027124, 'min_child_weight': 5}. Best is trial 3 with value: 0.5948809523809524.
Trial 10 finished with value: 0.6579761904761904 and parameters: {'learning_rate': 0.0015492984952199603, 'max_depth': 7, 'subsample': 0.7216467343881867, 'colsample_bytree': 0.26963548628765144, 'min_child_weight': 1}. Best is trial 10 with value: 0.6579761904761904.
