A new study created in memory with name: no-name-9979e359-8e66-4d74-a292-d091b188a7d7
Start optimization.
Trial 0 finished with value: 0.5819047619047618 and parameters: {'n_estimators': 1197, 'max_depth': 1422, 'min_samples_split': 2, 'min_samples_leaf': 5, 'criterion': 'entropy'}. Best is trial 0 with value: 0.5819047619047618.
Trial 1 finished with value: 0.5766666666666665 and parameters: {'n_estimators': 199, 'max_depth': 496, 'min_samples_split': 7, 'min_samples_leaf': 4, 'criterion': 'gini'}. Best is trial 0 with value: 0.5819047619047618.
Trial 2 finished with value: 0.5772619047619048 and parameters: {'n_estimators': 1711, 'max_depth': 1230, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'gini'}. Best is trial 0 with value: 0.5819047619047618.
Trial 3 finished with value: 0.5570238095238096 and parameters: {'n_estimators': 1536, 'max_depth': 1786, 'min_samples_split': 2, 'min_samples_leaf': 7, 'criterion': 'gini'}. Best is trial 0 with value: 0.5819047619047618.
Trial 4 finished with value: 0.574404761904762 and parameters: {'n_estimators': 564, 'max_depth': 375, 'min_samples_split': 10, 'min_samples_leaf': 3, 'criterion': 'gini'}. Best is trial 0 with value: 0.5819047619047618.
Trial 5 finished with value: 0.5692857142857143 and parameters: {'n_estimators': 1747, 'max_depth': 1617, 'min_samples_split': 3, 'min_samples_leaf': 8, 'criterion': 'entropy'}. Best is trial 0 with value: 0.5819047619047618.
Trial 6 finished with value: 0.5739285714285713 and parameters: {'n_estimators': 640, 'max_depth': 769, 'min_samples_split': 5, 'min_samples_leaf': 8, 'criterion': 'entropy'}. Best is trial 0 with value: 0.5819047619047618.
Trial 7 finished with value: 0.5620238095238095 and parameters: {'n_estimators': 1368, 'max_depth': 969, 'min_samples_split': 8, 'min_samples_leaf': 7, 'criterion': 'gini'}. Best is trial 0 with value: 0.5819047619047618.
Trial 8 finished with value: 0.5819047619047619 and parameters: {'n_estimators': 2044, 'max_depth': 897, 'min_samples_split': 2, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 8 with value: 0.5819047619047619.
Trial 9 finished with value: 0.5667857142857142 and parameters: {'n_estimators': 72, 'max_depth': 468, 'min_samples_split': 2, 'min_samples_leaf': 5, 'criterion': 'gini'}. Best is trial 8 with value: 0.5819047619047619.
Trial 10 finished with value: 0.5844047619047619 and parameters: {'n_estimators': 1948, 'max_depth': 1976, 'min_samples_split': 15, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 10 with value: 0.5844047619047619.
