A new study created in memory with name: no-name-17abffd7-4634-4ab1-a48d-2142b1ad262a
Start optimization.
Trial 0 finished with value: 0.5869047619047618 and parameters: {'n_estimators': 203, 'criterion': 'gini', 'max_features': 362, 'min_samples_split': 7, 'min_samples_leaf': 7}. Best is trial 0 with value: 0.5869047619047618.
Trial 1 finished with value: 0.5839285714285715 and parameters: {'n_estimators': 166, 'criterion': 'entropy', 'max_features': 319, 'min_samples_split': 26, 'min_samples_leaf': 2}. Best is trial 0 with value: 0.5869047619047618.
Trial 2 finished with value: 0.5890476190476189 and parameters: {'n_estimators': 141, 'criterion': 'log_loss', 'max_features': 275, 'min_samples_split': 30, 'min_samples_leaf': 7}. Best is trial 2 with value: 0.5890476190476189.
Trial 3 finished with value: 0.5841666666666667 and parameters: {'n_estimators': 101, 'criterion': 'gini', 'max_features': 160, 'min_samples_split': 20, 'min_samples_leaf': 2}. Best is trial 2 with value: 0.5890476190476189.
Trial 4 finished with value: 0.5692857142857142 and parameters: {'n_estimators': 284, 'criterion': 'gini', 'max_features': 837, 'min_samples_split': 47, 'min_samples_leaf': 2}. Best is trial 2 with value: 0.5890476190476189.
Trial 5 finished with value: 0.5870238095238095 and parameters: {'n_estimators': 140, 'criterion': 'log_loss', 'max_features': 441, 'min_samples_split': 2, 'min_samples_leaf': 1}. Best is trial 2 with value: 0.5890476190476189.
Trial 6 finished with value: 0.5890476190476189 and parameters: {'n_estimators': 114, 'criterion': 'entropy', 'max_features': 499, 'min_samples_split': 10, 'min_samples_leaf': 8}. Best is trial 2 with value: 0.5890476190476189.
Trial 7 finished with value: 0.5991666666666666 and parameters: {'n_estimators': 120, 'criterion': 'entropy', 'max_features': 110, 'min_samples_split': 13, 'min_samples_leaf': 1}. Best is trial 7 with value: 0.5991666666666666.
Trial 8 finished with value: 0.5694047619047617 and parameters: {'n_estimators': 115, 'criterion': 'entropy', 'max_features': 137, 'min_samples_split': 20, 'min_samples_leaf': 1}. Best is trial 7 with value: 0.5991666666666666.
Trial 9 finished with value: 0.5764285714285714 and parameters: {'n_estimators': 139, 'criterion': 'entropy', 'max_features': 260, 'min_samples_split': 74, 'min_samples_leaf': 1}. Best is trial 7 with value: 0.5991666666666666.
Trial 10 finished with value: 0.5941666666666666 and parameters: {'n_estimators': 476, 'criterion': 'entropy', 'max_features': 62, 'min_samples_split': 6, 'min_samples_leaf': 3}. Best is trial 7 with value: 0.5991666666666666.
Trial 11 finished with value: 0.586547619047619 and parameters: {'n_estimators': 486, 'criterion': 'entropy', 'max_features': 60, 'min_samples_split': 5, 'min_samples_leaf': 3}. Best is trial 7 with value: 0.5991666666666666.
Trial 12 finished with value: 0.5790476190476191 and parameters: {'n_estimators': 289, 'criterion': 'entropy', 'max_features': 54, 'min_samples_split': 5, 'min_samples_leaf': 4}. Best is trial 7 with value: 0.5991666666666666.
Trial 13 finished with value: 0.6138095238095238 and parameters: {'n_estimators': 492, 'criterion': 'entropy', 'max_features': 98, 'min_samples_split': 12, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 14 finished with value: 0.5917857142857142 and parameters: {'n_estimators': 373, 'criterion': 'entropy', 'max_features': 92, 'min_samples_split': 11, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 15 finished with value: 0.604047619047619 and parameters: {'n_estimators': 206, 'criterion': 'log_loss', 'max_features': 102, 'min_samples_split': 14, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 16 finished with value: 0.5566666666666665 and parameters: {'n_estimators': 221, 'criterion': 'log_loss', 'max_features': 176, 'min_samples_split': 98, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 17 finished with value: 0.5866666666666666 and parameters: {'n_estimators': 276, 'criterion': 'log_loss', 'max_features': 91, 'min_samples_split': 42, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
